Protein1,Protein2,SpearmanSimilarity
naive,seq89@8,0.9999999999999999
naive,seq122@106,0.9999999999999999
naive,seq6544@8,0.9999999999999999
naive,seq920@45,0.9999999999999999
naive,seq6553@8,0.9999999999999999
naive,seq1063@22,0.9878787878787878
naive,seq9562@8,0.9999999999999999
naive,seq2974@76,0.9999999999999999
naive,seq1576@6,0.9999999999999999
naive,seq879@22,0.9999999999999999
naive,seq13950@6,0.9999999999999999
naive,seq2587@45,0.9999999999999999
naive,seq11337@5,0.9999999999999999
naive,seq9655@7,0.9878787878787878
naive,seq1114@95,0.9999999999999999
naive,seq35688@5,0.9999999999999999
naive,seq2038@26,0.9999999999999999
naive,seq6878@4,0.9999999999999999
naive,seq3389@6,0.9999999999999999
naive,seq21161@4,0.9999999999999999
naive,seq63@73,0.9999999999999999
naive,seq38909@4,0.9999999999999999
naive,seq1727@57,0.9999999999999999
naive,seq523@86,0.9999999999999999
naive,seq2764@75,0.9999999999999999
naive,seq1632@31,0.9999999999999999
naive,seq1562@26,0.9999999999999999
seq89@8,seq122@106,0.9999999999999999
seq89@8,seq6544@8,0.9999999999999999
seq89@8,seq920@45,0.9999999999999999
seq89@8,seq6553@8,0.9999999999999999
seq89@8,seq1063@22,0.9878787878787878
seq89@8,seq9562@8,0.9999999999999999
seq89@8,seq2974@76,0.9999999999999999
seq89@8,seq1576@6,0.9999999999999999
seq89@8,seq879@22,0.9999999999999999
seq89@8,seq13950@6,0.9999999999999999
seq89@8,seq2587@45,0.9999999999999999
seq89@8,seq11337@5,0.9999999999999999
seq89@8,seq9655@7,0.9878787878787878
seq89@8,seq1114@95,0.9999999999999999
seq89@8,seq35688@5,0.9999999999999999
seq89@8,seq2038@26,0.9999999999999999
seq89@8,seq6878@4,0.9999999999999999
seq89@8,seq3389@6,0.9999999999999999
seq89@8,seq21161@4,0.9999999999999999
seq89@8,seq63@73,0.9999999999999999
seq89@8,seq38909@4,0.9999999999999999
seq89@8,seq1727@57,0.9999999999999999
seq89@8,seq523@86,0.9999999999999999
seq89@8,seq2764@75,0.9999999999999999
seq89@8,seq1632@31,0.9999999999999999
seq89@8,seq1562@26,0.9999999999999999
seq122@106,seq6544@8,0.9999999999999999
seq122@106,seq920@45,0.9999999999999999
seq122@106,seq6553@8,0.9999999999999999
seq122@106,seq1063@22,0.9878787878787878
seq122@106,seq9562@8,0.9999999999999999
seq122@106,seq2974@76,0.9999999999999999
seq122@106,seq1576@6,0.9999999999999999
seq122@106,seq879@22,0.9999999999999999
seq122@106,seq13950@6,0.9999999999999999
seq122@106,seq2587@45,0.9999999999999999
seq122@106,seq11337@5,0.9999999999999999
seq122@106,seq9655@7,0.9878787878787878
seq122@106,seq1114@95,0.9999999999999999
seq122@106,seq35688@5,0.9999999999999999
seq122@106,seq2038@26,0.9999999999999999
seq122@106,seq6878@4,0.9999999999999999
seq122@106,seq3389@6,0.9999999999999999
seq122@106,seq21161@4,0.9999999999999999
seq122@106,seq63@73,0.9999999999999999
seq122@106,seq38909@4,0.9999999999999999
seq122@106,seq1727@57,0.9999999999999999
seq122@106,seq523@86,0.9999999999999999
seq122@106,seq2764@75,0.9999999999999999
seq122@106,seq1632@31,0.9999999999999999
seq122@106,seq1562@26,0.9999999999999999
seq6544@8,seq920@45,0.9999999999999999
seq6544@8,seq6553@8,0.9999999999999999
seq6544@8,seq1063@22,0.9878787878787878
seq6544@8,seq9562@8,0.9999999999999999
seq6544@8,seq2974@76,0.9999999999999999
seq6544@8,seq1576@6,0.9999999999999999
seq6544@8,seq879@22,0.9999999999999999
seq6544@8,seq13950@6,0.9999999999999999
seq6544@8,seq2587@45,0.9999999999999999
seq6544@8,seq11337@5,0.9999999999999999
seq6544@8,seq9655@7,0.9878787878787878
seq6544@8,seq1114@95,0.9999999999999999
seq6544@8,seq35688@5,0.9999999999999999
seq6544@8,seq2038@26,0.9999999999999999
seq6544@8,seq6878@4,0.9999999999999999
