Protein1,Protein2,SpearmanSimilarity
naive,seq16704@12,0.9999999999999999
naive,seq1588@51,0.9878787878787878
naive,seq4529@80,0.9999999999999999
naive,seq2079@47,0.9999999999999999
naive,seq3401@33,0.9999999999999999
naive,seq895@31,0.9999999999999999
naive,seq2603@25,0.9999999999999999
naive,seq4089@19,0.9999999999999999
naive,seq1287@16,0.9878787878787878
naive,seq5045@16,0.9999999999999999
naive,seq7158@11,0.9999999999999999
naive,seq3864@10,0.9999999999999999
naive,seq4063@9,0.9999999999999999
naive,seq1010@7,0.9999999999999999
naive,seq2501@7,0.9999999999999999
naive,seq18944@6,0.9999999999999999
naive,seq5401@40,0.9999999999999999
naive,seq6139@19,0.9999999999999999
naive,seq8@52348,0.9999999999999999
naive,seq3266@22,0.9999999999999999
naive,seq20538@7,0.9999999999999999
naive,seq1070@73,0.9999999999999999
naive,seq192@35,0.9999999999999999
naive,seq23202@11,0.9999999999999999
naive,seq519@30,0.9999999999999999
naive,seq7337@21,0.9999999999999999
naive,seq11436@11,0.9999999999999999
naive,seq23@119,0.9999999999999999
naive,seq892@69,0.9999999999999999
naive,seq5436@20,0.9999999999999999
naive,seq4100@19,0.9999999999999999
seq16704@12,seq1588@51,0.9878787878787878
seq16704@12,seq4529@80,0.9999999999999999
seq16704@12,seq2079@47,0.9999999999999999
seq16704@12,seq3401@33,0.9999999999999999
seq16704@12,seq895@31,0.9999999999999999
seq16704@12,seq2603@25,0.9999999999999999
seq16704@12,seq4089@19,0.9999999999999999
seq16704@12,seq1287@16,0.9878787878787878
seq16704@12,seq5045@16,0.9999999999999999
seq16704@12,seq7158@11,0.9999999999999999
seq16704@12,seq3864@10,0.9999999999999999
seq16704@12,seq4063@9,0.9999999999999999
seq16704@12,seq1010@7,0.9999999999999999
seq16704@12,seq2501@7,0.9999999999999999
seq16704@12,seq18944@6,0.9999999999999999
seq16704@12,seq5401@40,0.9999999999999999
seq16704@12,seq6139@19,0.9999999999999999
seq16704@12,seq8@52348,0.9999999999999999
seq16704@12,seq3266@22,0.9999999999999999
seq16704@12,seq20538@7,0.9999999999999999
seq16704@12,seq1070@73,0.9999999999999999
seq16704@12,seq192@35,0.9999999999999999
seq16704@12,seq23202@11,0.9999999999999999
seq16704@12,seq519@30,0.9999999999999999
seq16704@12,seq7337@21,0.9999999999999999
seq16704@12,seq11436@11,0.9999999999999999
seq16704@12,seq23@119,0.9999999999999999
seq16704@12,seq892@69,0.9999999999999999
seq16704@12,seq5436@20,0.9999999999999999
seq16704@12,seq4100@19,0.9999999999999999
seq1588@51,seq4529@80,0.9878787878787878
seq1588@51,seq2079@47,0.9878787878787878
seq1588@51,seq3401@33,0.9878787878787878
seq1588@51,seq895@31,0.9878787878787878
seq1588@51,seq2603@25,0.9878787878787878
seq1588@51,seq4089@19,0.9878787878787878
seq1588@51,seq1287@16,0.9757575757575757
seq1588@51,seq5045@16,0.9878787878787878
seq1588@51,seq7158@11,0.9878787878787878
seq1588@51,seq3864@10,0.9878787878787878
seq1588@51,seq4063@9,0.9878787878787878
seq1588@51,seq1010@7,0.9878787878787878
seq1588@51,seq2501@7,0.9878787878787878
seq1588@51,seq18944@6,0.9878787878787878
seq1588@51,seq5401@40,0.9878787878787878
seq1588@51,seq6139@19,0.9878787878787878
seq1588@51,seq8@52348,0.9878787878787878
seq1588@51,seq3266@22,0.9878787878787878
seq1588@51,seq20538@7,0.9878787878787878
seq1588@51,seq1070@73,0.9878787878787878
seq1588@51,seq192@35,0.9878787878787878
seq1588@51,seq23202@11,0.9878787878787878
seq1588@51,seq519@30,0.9878787878787878
seq1588@51,seq7337@21,0.9878787878787878
seq1588@51,seq11436@11,0.9878787878787878
seq1588@51,seq23@119,0.9878787878787878
seq1588@51,seq892@69,0.9878787878787878
seq1588@51,seq5436@20,0.9878787878787878
seq1588@51,seq4100@19,0.9878787878787878
seq4529@80,seq2079@47,0.9999999999999999
seq4529@80,seq3401@33,0.9999999999999999
seq4529@80,seq895@31,0.9999999999999999
seq4529@80,seq2603@25,0.9999999999999999
seq4529@80,seq4089@19,0.9999999999999999
seq4529@80,seq1287@16,0.9878787878787878
seq4529@80,seq5045@16,0.9999999999999999
seq4529@80,seq7158@11,0.9999999999999999
seq4529@80,seq3864@10,0.9999999999999999
seq4529@80,seq4063@9,0.9999999999999999
seq4529@80,seq1010@7,0.9999999999999999
seq4529@80,seq2501@7,0.9999999999999999
seq4529@80,seq18944@6,0.9999999999999999
seq4529@80,seq5401@40,0.9999999999999999
seq4529@80,seq6139@19,0.9999999999999999
seq4529@80,seq8@52348,0.9999999999999999
seq4529@80,seq3266@22,0.9999999999999999
seq4529@80,seq20538@7,0.9999999999999999
seq4529@80,seq1070@73,0.9999999999999999
seq4529@80,seq192@35,0.9999999999999999
seq4529@80,seq23202@11,0.9999999999999999
seq4529@80,seq519@30,0.9999999999999999
seq4529@80,seq7337@21,0.9999999999999999
seq4529@80,seq11436@11,0.9999999999999999
seq4529@80,seq23@119,0.9999999999999999
seq4529@80,seq892@69,0.9999999999999999
seq4529@80,seq5436@20,0.9999999999999999
seq4529@80,seq4100@19,0.9999999999999999
seq2079@47,seq3401@33,0.9999999999999999
seq2079@47,seq895@31,0.9999999999999999
seq2079@47,seq2603@25,0.9999999999999999
seq2079@47,seq4089@19,0.9999999999999999
seq2079@47,seq1287@16,0.9878787878787878
seq2079@47,seq5045@16,0.9999999999999999
seq2079@47,seq7158@11,0.9999999999999999
seq2079@47,seq3864@10,0.9999999999999999
seq2079@47,seq4063@9,0.9999999999999999
seq2079@47,seq1010@7,0.9999999999999999
seq2079@47,seq2501@7,0.9999999999999999
seq2079@47,seq18944@6,0.9999999999999999
seq2079@47,seq5401@40,0.9999999999999999
seq2079@47,seq6139@19,0.9999999999999999
seq2079@47,seq8@52348,0.9999999999999999
seq2079@47,seq3266@22,0.9999999999999999
seq2079@47,seq20538@7,0.9999999999999999
seq2079@47,seq1070@73,0.9999999999999999
seq2079@47,seq192@35,0.9999999999999999
seq2079@47,seq23202@11,0.9999999999999999
seq2079@47,seq519@30,0.9999999999999999
seq2079@47,seq7337@21,0.9999999999999999
seq2079@47,seq11436@11,0.9999999999999999
seq2079@47,seq23@119,0.9999999999999999
seq2079@47,seq892@69,0.9999999999999999
seq2079@47,seq5436@20,0.9999999999999999
seq2079@47,seq4100@19,0.9999999999999999
seq3401@33,seq895@31,0.9999999999999999
seq3401@33,seq2603@25,0.9999999999999999
seq3401@33,seq4089@19,0.9999999999999999
seq3401@33,seq1287@16,0.9878787878787878
seq3401@33,seq5045@16,0.9999999999999999
seq3401@33,seq7158@11,0.9999999999999999
seq3401@33,seq3864@10,0.9999999999999999
seq3401@33,seq4063@9,0.9999999999999999
seq3401@33,seq1010@7,0.9999999999999999
seq3401@33,seq2501@7,0.9999999999999999
seq3401@33,seq18944@6,0.9999999999999999
seq3401@33,seq5401@40,0.9999999999999999
seq3401@33,seq6139@19,0.9999999999999999
seq3401@33,seq8@52348,0.9999999999999999
seq3401@33,seq3266@22,0.9999999999999999
seq3401@33,seq20538@7,0.9999999999999999
seq3401@33,seq1070@73,0.9999999999999999
seq3401@33,seq192@35,0.9999999999999999
seq3401@33,seq23202@11,0.9999999999999999
seq3401@33,seq519@30,0.9999999999999999
seq3401@33,seq7337@21,0.9999999999999999
seq3401@33,seq11436@11,0.9999999999999999
seq3401@33,seq23@119,0.9999999999999999
seq3401@33,seq892@69,0.9999999999999999
seq3401@33,seq5436@20,0.9999999999999999
seq3401@33,seq4100@19,0.9999999999999999
seq895@31,seq2603@25,0.9999999999999999
seq895@31,seq4089@19,0.9999999999999999
seq895@31,seq1287@16,0.9878787878787878
seq895@31,seq5045@16,0.9999999999999999
seq895@31,seq7158@11,0.9999999999999999
seq895@31,seq3864@10,0.9999999999999999
seq895@31,seq4063@9,0.9999999999999999
seq895@31,seq1010@7,0.9999999999999999
seq895@31,seq2501@7,0.9999999999999999
seq895@31,seq18944@6,0.9999999999999999
seq895@31,seq5401@40,0.9999999999999999
seq895@31,seq6139@19,0.9999999999999999
seq895@31,seq8@52348,0.9999999999999999
seq895@31,seq3266@22,0.9999999999999999
seq895@31,seq20538@7,0.9999999999999999
seq895@31,seq1070@73,0.9999999999999999
seq895@31,seq192@35,0.9999999999999999
seq895@31,seq23202@11,0.9999999999999999
seq895@31,seq519@30,0.9999999999999999
seq895@31,seq7337@21,0.9999999999999999
seq895@31,seq11436@11,0.9999999999999999
seq895@31,seq23@119,0.9999999999999999
seq895@31,seq892@69,0.9999999999999999
seq895@31,seq5436@20,0.9999999999999999
seq895@31,seq4100@19,0.9999999999999999
seq2603@25,seq4089@19,0.9999999999999999
seq2603@25,seq1287@16,0.9878787878787878
seq2603@25,seq5045@16,0.9999999999999999
seq2603@25,seq7158@11,0.9999999999999999
seq2603@25,seq3864@10,0.9999999999999999
seq2603@25,seq4063@9,0.9999999999999999
seq2603@25,seq1010@7,0.9999999999999999
seq2603@25,seq2501@7,0.9999999999999999
seq2603@25,seq18944@6,0.9999999999999999
seq2603@25,seq5401@40,0.9999999999999999
seq2603@25,seq6139@19,0.9999999999999999
seq2603@25,seq8@52348,0.9999999999999999
seq2603@25,seq3266@22,0.9999999999999999
seq2603@25,seq20538@7,0.9999999999999999
seq2603@25,seq1070@73,0.9999999999999999
seq2603@25,seq192@35,0.9999999999999999
seq2603@25,seq23202@11,0.9999999999999999
seq2603@25,seq519@30,0.9999999999999999
seq2603@25,seq7337@21,0.9999999999999999
seq2603@25,seq11436@11,0.9999999999999999
seq2603@25,seq23@119,0.9999999999999999
seq2603@25,seq892@69,0.9999999999999999
seq2603@25,seq5436@20,0.9999999999999999
seq2603@25,seq4100@19,0.9999999999999999
seq4089@19,seq1287@16,0.9878787878787878
seq4089@19,seq5045@16,0.9999999999999999
seq4089@19,seq7158@11,0.9999999999999999
seq4089@19,seq3864@10,0.9999999999999999
seq4089@19,seq4063@9,0.9999999999999999
seq4089@19,seq1010@7,0.9999999999999999
seq4089@19,seq2501@7,0.9999999999999999
seq4089@19,seq18944@6,0.9999999999999999
seq4089@19,seq5401@40,0.9999999999999999
seq4089@19,seq6139@19,0.9999999999999999
seq4089@19,seq8@52348,0.9999999999999999
seq4089@19,seq3266@22,0.9999999999999999
seq4089@19,seq20538@7,0.9999999999999999
seq4089@19,seq1070@73,0.9999999999999999
seq4089@19,seq192@35,0.9999999999999999
seq4089@19,seq23202@11,0.9999999999999999
seq4089@19,seq519@30,0.9999999999999999
seq4089@19,seq7337@21,0.9999999999999999
seq4089@19,seq11436@11,0.9999999999999999
seq4089@19,seq23@119,0.9999999999999999
seq4089@19,seq892@69,0.9999999999999999
seq4089@19,seq5436@20,0.9999999999999999
